x	y	z	t	dist
-1.55363	344.634	55.5187	6.98909	13.2871
-1.46918	343.828	55.3923	7.03982	12.4782
-1.3375	342.982	55.2597	7.09345	11.6223
-1.16534	342.187	55.1351	7.14484	10.8098
-0.972317	341.375	55.0078	7.19785	9.97608
-0.694121	340.541	54.8771	7.25327	9.10653
-0.439079	339.788	54.7591	7.30492	8.3231
-0.0763935	338.988	54.6337	7.36136	7.48186
0.215612	338.189	54.5086	7.41618	6.65747
0.49031	337.446	54.3921	7.46763	5.89681
0.821468	336.674	54.271	7.52255	5.11632
1.04073	335.912	54.1517	7.57323	4.36145
1.23244	335.139	54.0305	7.62383	3.6074
1.38278	334.35	53.9069	7.67481	2.85297
1.49661	333.487	53.7716	7.72913	2.05169
1.57099	332.652	53.6407	7.78095	1.33907
1.59664	331.755	53.5001	7.83662	0.820694
1.57845	330.824	53.3542	7.89426	1.06933
1.52949	329.962	53.219	7.94795	13.4271
1.42857	329.132	53.089	8.0001	12.5924
1.30636	328.297	52.9582	8.05293	11.7496
1.15576	327.442	52.8241	8.10729	10.8811
0.935995	326.569	52.6874	8.16366	9.98342
0.714051	325.703	52.5516	8.2201	9.09177
0.416592	324.933	52.4309	8.27163	8.28458
0.153641	324.129	52.3049	8.3259	7.45229
-0.117652	323.357	52.1839	8.37762	6.65394
-0.387555	322.603	52.0657	8.42857	5.87954
-0.710649	321.842	51.9465	8.48129	5.10488
-0.928789	321.064	51.8245	8.53278	4.32797
-1.11501	320.212	51.691	8.58753	3.48822
-1.26427	319.423	51.5674	8.63839	2.72511
-1.387	318.596	51.4377	8.69069	1.94876
-1.44153	317.724	51.301	8.74499	1.17628
-1.45023	316.903	51.1723	8.79625	0.670769
-1.41987	316.078	51.043	8.84776	0.905474
-1.34523	315.256	50.9143	8.89936	13.5083
-1.21285	314.386	50.7778	8.9547	12.6279
-1.03162	313.52	50.6421	9.01061	11.744
-0.850055	312.714	50.5159	9.0632	10.9203
-0.625299	311.96	50.3976	9.11358	10.1409
-0.378318	311.187	50.2765	9.16558	9.34222
-0.154223	310.395	50.1523	9.21803	8.52874
0.155279	309.614	50.03	9.27152	7.72188
0.395154	308.858	49.9114	9.32275	6.94988
0.639228	308.044	49.7838	9.37699	6.12616
0.85812	307.277	49.6636	9.42827	5.35752
1.06662	306.435	49.5317	9.48367	4.52328
1.22217	305.577	49.3972	9.53905	3.68203
1.35371	304.767	49.2703	9.59042	2.90105
1.41876	303.9	49.1343	9.64518	2.07456
1.44596	303.069	49.0041	9.69692	1.31844
1.43516	302.173	48.8637	9.7527	0.683999
1.36771	301.305	48.7277	9.80693	0.836314
1.27002	300.505	48.6023	9.85708	13.5642
1.1188	299.633	48.4656	9.91236	12.6789
0.939285	298.81	48.3366	9.96548	11.8386
0.739713	297.996	48.209	10.0187	11.0044
0.451485	297.144	48.0754	10.0756	10.1213
0.171691	296.375	47.955	10.1284	9.32615
-0.123399	295.648	47.8411	10.1785	8.5752
-0.418206	294.895	47.723	10.2299	7.80439
-0.699533	294.139	47.6045	10.2809	7.03957
-0.985967	293.336	47.4787	10.3351	6.23889
-1.19079	292.566	47.358	10.3851	5.47989
-1.37249	291.745	47.2292	10.4384	4.67977
-1.53096	290.954	47.1053	10.4893	3.92247
-1.64384	290.126	46.9755	10.5416	3.14137
-1.64384	289.265	46.8407	10.5951	2.32402
-1.64384	288.441	46.7115	10.6465	1.58444
-1.64384	287.598	46.5793	10.699	0.979594
-1.64384	286.747	46.4459	10.7522	0.914806
-1.64384	285.91	46.3147	10.8043	13.8459
-1.55639	285.075	46.1838	10.8569	13.0086
-1.44097	284.273	46.0583	10.9074	12.1998
-1.24403	283.41	45.9229	10.9631	11.3149
-1.03575	282.557	45.7892	11.0189	10.4383
-0.782156	281.771	45.666	11.0709	9.62064
-0.553128	280.93	45.5343	11.1268	8.75426
-0.306185	280.157	45.4131	11.1789	7.95328
0.000793327	279.378	45.2911	11.232	7.14206
0.244484	278.57	45.1643	11.2856	6.31279
0.498856	277.793	45.0425	11.3382	5.51982
0.759295	276.978	44.9148	11.392	4.69686
0.957562	276.122	44.7807	11.4482	3.84448
1.13915	275.258	44.6453	11.5041	2.99603
1.27002	274.473	44.5222	11.5541	2.24139
1.36089	273.671	44.3965	11.6045	1.49835
1.42026	272.858	44.2692	11.6551	0.847305
1.45656	272.03	44.1393	11.7065	0.70309
1.45871	271.198	44.0089	11.7581	13.9202
1.41253	270.281	43.8652	11.8151	13.0088
1.34576	269.389	43.7255	11.8701	12.119
1.22377	268.558	43.5952	11.9219	11.2794
1.08606	267.723	43.4642	11.9746	10.4328
0.905247	266.896	43.3347	12.0273	9.58726
0.708736	266.111	43.2117	12.0775	8.77992
0.498145	265.296	43.0838	12.1307	7.94048
0.237832	264.434	42.9488	12.1868	7.04905
0.00327426	263.647	42.8254	12.238	6.23706
-0.229281	262.873	42.7042	12.2883	5.44148
-0.468937	262.086	42.5808	12.3395	4.63583
-0.682413	261.311	42.4593	12.3897	3.85073
-0.929876	260.47	42.3275	12.4446	3.01077
-1.11466	259.663	42.201	12.4961	2.22322
-1.26139	258.797	42.0653	12.5502	1.41236
-1.41377	257.964	41.9348	12.6024	0.793045
-1.50264	257.097	41.7988	12.656	0.791782
-1.55207	256.218	41.6611	12.7098	13.7777
-1.56111	255.387	41.5309	12.7609	12.9614
-1.52115	254.535	41.3973	12.8135	12.1165
