x	y	z	t	dist
1.36728	363.718	58.5098	9.17996	2.586
1.36031	363.221	58.4318	9.23272	2.10167
1.34361	362.729	58.3548	9.2852	1.62756
1.30537	362.186	58.2696	9.34273	1.11185
1.26312	361.707	58.1945	9.39354	0.689897
1.20602	361.236	58.1207	9.44365	0.408051
1.14466	360.719	58.0397	9.49856	0.58769
1.04986	360.2	57.9583	9.55359	13.9466
0.963476	359.672	57.8755	9.60841	13.4118
0.849582	359.134	57.7913	9.66413	12.8641
0.746314	358.639	57.7137	9.71536	12.3597
0.618972	358.118	57.6319	9.76997	11.8265
0.502778	357.582	57.5481	9.82588	11.2814
0.384332	357.105	57.4732	9.8764	10.7935
0.255134	356.628	57.3985	9.92672	10.3055
0.0909621	356.107	57.3169	9.98165	9.77163
-0.0314729	355.579	57.2341	10.0374	9.23464
-0.189682	355.049	57.1509	10.0941	8.69357
-0.310523	354.543	57.0717	10.1469	8.18146
-0.424918	354.054	56.995	10.1978	7.68662
-0.536527	353.571	56.9194	10.2483	7.19956
-0.657194	353.047	56.8372	10.3031	6.67221
-0.740613	352.515	56.7538	10.3578	6.13838
-0.825954	351.99	56.6715	10.4117	5.61322
-0.881985	351.447	56.5865	10.4667	5.07171
-0.928364	350.908	56.502	10.5213	4.53349
-0.955478	350.375	56.4185	10.5752	4.00186
-0.968292	349.827	56.3325	10.6302	3.45439
-0.962584	349.286	56.2478	10.6842	2.91405
-0.939093	348.709	56.1573	10.7417	2.33648
-0.890825	348.174	56.0735	10.7955	1.79972
-0.83235	347.635	55.9891	10.8497	1.25936
-0.740402	347.111	55.9069	10.9033	0.736881
-0.659805	346.594	55.8259	10.9556	0.258895
-0.560337	346.07	55.7437	11.0094	-1
-0.418842	345.576	55.6662	11.0617	14.0711
-0.29638	345.053	55.5843	11.1161	13.5398
-0.160678	344.556	55.5064	11.1678	13.0341
-0.0013609	344.053	55.4276	11.2202	12.5212
0.147077	343.501	55.3411	11.2768	11.9613
0.282368	342.999	55.2625	11.3286	11.4537
0.466863	342.499	55.184	11.3815	10.9464
0.606766	341.962	55.0999	11.4365	10.4063
0.775538	341.442	55.0184	11.4905	9.88495
0.878685	340.941	54.9399	11.541	9.384
1.03052	340.424	54.8588	11.5941	8.86963
1.14088	339.889	54.7749	11.648	8.33812
1.24259	339.371	54.6938	11.7001	7.82603
1.34467	338.815	54.6066	11.7552	7.27767
1.41141	338.273	54.5217	11.8085	6.74338
1.45844	337.76	54.4413	11.8593	6.23746
1.49541	337.229	54.3581	11.9113	5.71407
1.52349	336.654	54.268	11.9676	5.14811
1.53479	336.106	54.182	12.0211	4.6071
1.52625	335.556	54.0958	12.0747	4.06362
1.50429	335.031	54.0135	12.1259	3.54416
1.4655	334.49	53.9288	12.1789	3.00712
1.40671	333.954	53.8448	12.2314	2.4723
1.34368	333.399	53.7578	12.2859	1.92022
1.26579	332.878	53.6761	12.3376	1.39995
1.15837	332.345	53.5926	12.3907	0.865073
1.05517	331.811	53.5089	12.4442	0.35993
0.945806	331.293	53.4277	12.4965	0.302076
0.835478	330.772	53.3461	12.549	14.1289
0.686505	330.233	53.2616	12.604	13.5769
0.569697	329.686	53.1759	12.6591	13.0206
0.414806	329.157	53.0929	12.7134	12.478
0.292079	328.626	53.0097	12.7674	11.9378
0.162323	328.109	52.9287	12.8195	11.4119
-0.00942698	327.556	52.842	12.8768	10.8468
-0.138726	327.044	52.7618	12.9296	10.3275
-0.312041	326.494	52.6756	12.9864	9.76848
-0.481718	325.934	52.5877	13.0441	9.20112
-0.612784	325.407	52.5052	13.0971	8.67091
-0.737909	324.902	52.426	13.1482	8.16384
-0.865444	324.36	52.3411	13.2027	7.62223
-0.952553	323.84	52.2596	13.2541	7.10332
-1.02524	323.325	52.1789	13.3048	6.5907
-1.08357	322.806	52.0976	13.3555	6.07474
-1.12157	322.233	52.0077	13.4115	5.50449
-1.14594	321.697	51.9238	13.4638	4.97128
-1.14883	321.142	51.8367	13.5178	4.4176
-1.12633	320.579	51.7485	13.5726	3.85451
-1.08816	320.028	51.6622	13.6265	3.3027
-1.03183	319.484	51.5769	13.6801	2.75571
