x	y	z	t
0.460979	449.999	73.4145	0.051203
0.458185	449.355	73.3112	0.103771
0.452962	448.708	73.2066	0.155628
0.446405	448.039	73.0984	0.209641
0.434151	447.366	72.991	0.264101
0.417487	446.66	72.8785	0.321508
0.398179	446.003	72.7738	0.375196
0.379742	445.356	72.6701	0.428198
0.354015	444.714	72.565	0.480987
0.313503	444.072	72.4566	0.534255
0.281524	443.424	72.349	0.58781
0.237341	442.782	72.2465	0.640887
0.198952	442.115	72.1455	0.695607
0.144869	441.466	72.0527	0.749012
0.120396	440.778	71.9623	0.805344
0.055977	440.135	71.8745	0.859027
0.0371664	439.491	71.7799	0.912941
-0.0121138	438.893	71.6836	0.963603
-0.100666	438.255	71.5714	1.01887
-0.164335	437.674	71.458	1.07041
-0.206164	437.089	71.3271	1.12193
-0.263051	436.478	71.1921	1.17492
-0.337667	435.842	71.0516	1.22881
-0.36306	435.222	70.9165	1.28049
-0.37295	434.561	70.7739	1.33494
-0.372624	433.901	70.6452	1.38889
-0.351203	433.278	70.5288	1.4389
-0.310978	432.62	70.4142	1.4918
-0.274095	431.961	70.3141	1.54442
-0.196757	431.274	70.2268	1.59986
-0.141563	430.642	70.1712	1.65241
-0.0588194	430.054	70.1263	1.70375
0.0118835	429.468	70.0862	1.75549
0.114087	428.888	70.0451	1.80853
0.248075	428.337	69.9998	1.86058
0.309046	427.731	69.9334	1.91595
0.433699	427.131	69.8425	1.97234
0.536439	426.549	69.737	2.02465
0.626466	425.968	69.6197	2.07616
0.721139	425.369	69.4925	2.12832
0.824022	424.706	69.3482	2.18513
0.895453	424.076	69.221	2.23736
0.954432	423.459	69.1012	2.28802
1.0028	422.792	68.9805	2.3426
1.02638	422.138	68.8723	2.39595
1.0312	421.46	68.7682	2.45095
1.01873	420.78	68.6714	2.50612
0.971098	420.108	68.5816	2.561
0.921732	419.455	68.5033	2.61438
0.830108	418.775	68.4198	2.67042
0.757828	418.146	68.3517	2.72271
0.671068	417.55	68.2837	2.77314
0.563953	416.917	68.2082	2.82824
0.45269	416.358	68.1419	2.87825
0.335804	415.803	68.0741	2.92871
0.186718	415.211	67.9986	2.98503
0.00713986	414.65	67.9149	3.03954
-0.111034	414.103	67.8221	3.09022
-0.199674	413.522	67.7083	3.14405
-0.321112	412.939	67.5889	3.1978
-0.463452	412.371	67.4664	3.24938
-0.55928	411.75	67.327	3.30309
-0.64522	411.103	67.1927	3.3576
-0.745748	410.445	67.0626	3.4123
-0.795934	409.807	66.9405	3.46483
-0.839045	409.163	66.8323	3.51762
-0.861634	408.485	66.7336	3.57249
-0.863091	407.837	66.6484	3.62529
-0.848763	407.223	66.576	3.67595
-0.817639	406.605	66.5083	3.72675
-0.774867	405.987	66.4423	3.77794
-0.707687	405.352	66.3745	3.83039
-0.654537	404.717	66.311	3.883
-0.574331	404.113	66.2448	3.93392
-0.45956	403.458	66.1675	3.9894
-0.384808	402.799	66.0906	4.04529
-0.256537	402.188	66.0128	4.09887
-0.177475	401.574	65.9332	4.15291
-0.0733333	400.953	65.843	4.2077
0.0516322	400.332	65.742	4.26346
0.152616	399.746	65.6348	4.31624
0.256031	399.176	65.5211	4.36815
0.358813	398.566	65.3869	4.42368
0.456658	397.983	65.2581	4.4753
0.560788	397.398	65.1268	4.52671
0.65315	396.813	64.9969	4.57709
0.734314	396.197	64.8651	4.62868
0.807422	395.57	64.7369	4.68021
0.845143	394.94	64.6169	4.73163
0.864597	394.323	64.509	4.78205
0.8689	393.631	64.4003	4.83801
0.85523	392.998	64.3112	4.88952
0.809972	392.385	64.2348	4.93954
0.759276	391.737	64.1602	4.99299
0.708837	391.104	64.1003	5.04589
0.592559	390.473	64.037	5.09977
0.512624	389.815	63.977	5.15617
0.368924	389.196	63.9143	5.21103
0.28915	388.542	63.8489	5.26801
0.178777	387.921	63.784	5.32372
0.0641323	387.367	63.7167	5.37401
-0.0466956	386.797	63.6396	5.42494
-0.186874	386.177	63.5451	5.4809
-0.297604	385.606	63.4492	5.53148
-0.373288	384.943	63.3251	5.5886
-0.50205	384.318	63.2009	5.64291
-0.582077	383.711	63.0656	5.69521
-0.685893	383.111	62.9349	5.7466
-0.799455	382.465	62.7991	5.80055
-0.874586	381.822	62.6627	5.85367
-0.938658	381.198	62.5453	5.90486
-0.995908	380.534	62.431	5.95861
-1.02577	379.887	62.3271	6.01091
-1.04426	379.233	62.2287	6.06382
-1.04569	378.597	62.1356	6.11551
-1.03544	377.95	62.0438	6.16818
-1.01195	377.306	61.9563	6.22059
-0.97519	376.689	61.8772	6.2706
-0.92789	376.012	61.7975	6.3264
-0.866336	375.397	61.7254	6.37734
-0.782824	374.77	61.6537	6.42904
-0.715823	374.129	61.5795	6.48184
-0.636877	373.535	61.5111	6.5319
-0.561527	372.891	61.4364	6.58602
-0.477553	372.286	61.3587	6.63763
-0.335053	371.663	61.2737	6.69217
-0.262133	371.077	61.1912	6.74365
-0.158296	370.493	61.1021	6.79581
-0.00216167	369.879	61.0011	6.85121
0.0863608	369.285	60.8934	6.90484
0.194154	368.733	60.7863	6.95575
0.334122	368.134	60.6648	7.01111
0.408856	367.503	60.5236	7.06686
0.508691	366.897	60.3878	7.1196
0.627277	366.312	60.2539	7.17001
0.697843	365.649	60.1054	7.2254
0.763228	364.97	59.9726	7.28067
0.818007	364.262	59.8453	7.33749
0.844068	363.561	59.7349	7.39375
0.84581	362.877	59.6371	7.44865
0.829783	362.251	59.5565	7.49908
0.789661	361.572	59.4813	7.55444
0.740488	360.917	59.41	7.60855
0.649037	360.286	59.3463	7.66123
0.585481	359.653	59.29	7.71432
0.502243	358.998	59.2225	7.76943
0.402458	358.364	59.1613	7.82427
0.308711	357.724	59.0881	7.87937
0.208499	357.147	59.0192	7.92982
0.0898794	356.502	58.933	7.98683
-0.0149979	355.918	58.8429	8.03833
-0.143879	355.295	58.7332	8.09458
-0.272429	354.739	58.6264	8.14542
-0.390922	354.164	58.508	8.19659
-0.524491	353.546	58.375	8.25099
-0.635033	352.939	58.2386	8.30379
-0.730798	352.359	58.0958	8.35407
-0.811695	351.721	57.9543	8.40741
-0.904959	351.081	57.8194	8.46041
-0.963146	350.46	57.6981	8.51083
-1.00336	349.793	57.5777	8.56438
-1.01536	349.151	57.4739	8.61632
-1.00754	348.485	57.3747	8.6701
-0.981845	347.852	57.2879	8.72118
-0.938053	347.197	57.2052	8.77392
-0.885866	346.574	57.1402	8.82504
-0.791624	345.9	57.0669	8.88082
-0.72552	345.215	57.0008	8.93742
-0.641246	344.612	56.9404	8.98825
-0.508294	344.005	56.8783	9.04039
-0.409993	343.399	56.8144	9.09255
-0.32337	342.762	56.7468	9.14879
-0.167618	342.158	56.6728	9.20387
-0.0402092	341.623	56.6014	9.25422
0.0550773	341.045	56.5135	9.30731
0.150443	340.483	56.4155	9.35841
0.272425	339.933	56.3103	9.40964
0.435618	339.354	56.1909	9.46343
0.518021	338.768	56.0549	9.51518
0.620687	338.177	55.9216	9.56648
0.757658	337.542	55.7816	9.62183
0.833514	336.868	55.6344	9.67814
0.899808	336.263	55.5145	9.72826
0.945044	335.632	55.399	9.77977
0.976792	334.948	55.2833	9.83567
0.985076	334.301	55.1829	9.88799
0.976893	333.68	55.092	9.93902
0.942964	333.047	55.0053	9.99057
0.903641	332.365	54.9222	10.0464
0.825689	331.676	54.8393	10.1028
0.766699	331.01	54.7679	10.1577
0.681919	330.374	54.6965	10.2109
0.562871	329.757	54.6286	10.264
0.474782	329.16	54.5703	10.316
0.374304	328.504	54.4942	10.3724
0.251431	327.89	54.4243	10.4273
0.141929	327.332	54.3526	10.4784
-0.00721411	326.749	54.2674	10.5319
-0.110071	326.142	54.1684	10.5868
-0.24418	325.561	54.0636	10.6397
-0.383893	324.947	53.9415	10.6949
-0.506665	324.329	53.8163	10.7493
-0.63644	323.661	53.6716	10.8065
