x	y	z	t
0.475615	450.091	73.2772	0.0522035
0.473234	449.573	73.1993	0.107718
0.471469	449.032	73.1193	0.165586
0.471039	448.522	73.0443	0.220423
0.473477	448.023	72.9712	0.274338
0.473461	447.507	72.8953	0.329802
0.474607	447.037	72.8242	0.380329
0.4749	446.518	72.7442	0.435931
0.475698	446.022	72.6667	0.489273
0.477327	445.518	72.5875	0.543381
0.478367	445.045	72.5124	0.594267
0.47847	444.562	72.4355	0.646241
0.478396	444.07	72.3582	0.699036
0.480891	443.567	72.2794	0.753123
0.480627	443.081	72.2033	0.805244
0.481617	442.584	72.1259	0.858477
0.483037	442.073	72.0458	0.913547
0.481679	441.584	71.9694	0.965902
0.482929	441.066	71.888	1.02138
0.482488	440.571	71.8098	1.07451
0.480866	440.059	71.7285	1.12916
0.482113	439.555	71.6486	1.18295
0.481684	439.083	71.5734	1.23354
0.480445	438.606	71.4975	1.28476
0.480391	438.116	71.4202	1.33732
0.480896	437.636	71.3442	1.38917
0.480827	437.157	71.2687	1.44064
0.481212	436.668	71.1917	1.49301
0.480538	436.159	71.1113	1.54786
0.48	435.671	71.0352	1.60041
0.479694	435.205	70.9618	1.65067
0.476817	434.698	70.8815	1.70507
0.472367	434.209	70.803	1.75767
0.463623	433.681	70.7173	1.81439
0.454236	433.184	70.6357	1.86793
0.444763	432.692	70.557	1.92107
0.430968	432.215	70.4819	1.97294
0.425202	431.692	70.4009	2.02913
0.416888	431.2	70.3259	2.08184
0.414776	430.718	70.2508	2.1337
0.416729	430.241	70.1764	2.18466
0.42076	429.77	70.1042	2.23506
0.429162	429.302	70.0354	2.2855
0.430572	428.806	69.9603	2.33847
0.434052	428.268	69.8777	2.39549
0.439487	427.741	69.7969	2.4514
0.444616	427.219	69.7171	2.50705
0.446102	426.743	69.6426	2.55777
0.445558	426.255	69.5645	2.6096
0.444323	425.767	69.4855	2.66155
0.439859	425.276	69.4066	2.71392
0.437451	424.757	69.3246	2.76947
0.434583	424.288	69.2494	2.81967
0.431604	423.781	69.1671	2.87363
0.428204	423.292	69.0845	2.92586
0.423625	422.782	68.9982	2.98061
0.41659	422.279	68.9123	3.03492
0.39725	421.801	68.8334	3.08702
0.376325	421.292	68.7529	3.14212
0.347137	420.784	68.6727	3.19701
0.322082	420.276	68.594	3.252
0.297291	419.798	68.519	3.30387
0.267637	419.267	68.4346	3.36083
0.244737	418.801	68.3615	3.41097
0.223288	418.328	68.2863	3.46207
0.204931	417.863	68.2105	3.51232
0.183681	417.353	68.129	3.56766
0.166135	416.861	68.0536	3.62081
0.147631	416.387	67.9821	3.67184
0.122185	415.865	67.9038	3.72833
0.0951787	415.363	67.8281	3.78248
0.0780499	414.867	67.7546	3.83612
0.0525352	414.382	67.6806	3.88867
0.018352	413.887	67.6029	3.94212
-0.0113518	413.392	67.523	3.99567
-0.0401702	412.892	67.4431	4.04926
-0.0757259	412.411	67.3668	4.10128
-0.123857	411.939	67.2919	4.15254
-0.165515	411.417	67.2102	4.20845
-0.203006	410.94	67.136	4.25989
-0.237502	410.46	67.0616	4.31094
-0.280209	409.971	66.986	4.36356
-0.309491	409.489	66.9116	4.41532
-0.332904	408.986	66.8316	4.46901
-0.35458	408.499	66.7531	4.52056
-0.378882	408.006	66.674	4.57364
-0.390891	407.514	66.5934	4.62616
-0.401902	407.039	66.5154	4.67724
-0.40698	406.56	66.4368	4.72862
-0.415467	406.035	66.3524	4.78535
-0.409512	405.525	66.2694	4.84012
-0.411007	405.033	66.1887	4.8931
-0.40518	404.563	66.1127	4.94372
-0.400976	404.083	66.0361	4.99542
-0.394831	403.576	65.9558	5.04986
-0.387603	403.085	65.878	5.10282
-0.38185	402.552	65.7912	5.15965
-0.374951	402.067	65.7129	5.21191
-0.353042	401.591	65.637	5.26359
-0.343063	401.09	65.5589	5.31744
-0.313282	400.576	65.4828	5.37306
-0.294051	400.11	65.416	5.42407
-0.266055	399.639	65.3491	5.47578
-0.234682	399.183	65.2883	5.52624
-0.193962	398.727	65.2244	5.57688
-0.133689	398.235	65.1514	5.63161
-0.0872961	397.758	65.0779	5.68414
-0.0430446	397.287	65.0038	5.73565
0.00446011	396.767	64.9189	5.79228
0.0534081	396.288	64.8397	5.84399
0.108178	395.772	64.7543	5.89998
0.159898	395.254	64.6686	5.95629
0.201603	394.753	64.5866	6.01032
0.246299	394.248	64.505	6.06514
0.274005	393.726	64.4199	6.12122
0.30283	393.234	64.3388	6.17398
0.319065	392.746	64.2569	6.22627
0.327535	392.234	64.1695	6.28126
0.335048	391.729	64.0854	6.33573
0.334083	391.243	64.0037	6.38831
0.331485	390.76	63.922	6.44105
0.319652	390.252	63.8372	6.49593
0.306623	389.731	63.7513	6.55196
0.279373	389.254	63.6764	6.60379
0.261897	388.769	63.6044	6.65649
0.233547	388.306	63.5384	6.7066
0.199638	387.799	63.4661	6.76163
0.152429	387.308	63.3941	6.8151
0.113559	386.836	63.3287	6.86656
0.0646265	386.333	63.2587	6.92168
0.00417068	385.828	63.1871	6.97748
-0.0534824	385.34	63.1145	7.03035
-0.124681	384.856	63.0411	7.08341
-0.183941	384.366	62.9665	7.13688
-0.254166	383.888	62.8936	7.18938
-0.325078	383.4	62.8172	7.24287
-0.417078	382.932	62.7419	7.29492
-0.477996	382.445	62.6606	7.34781
-0.533578	381.962	62.5797	7.40009
-0.58996	381.482	62.4973	7.45203
-0.656763	381.013	62.4161	7.5034
-0.685886	380.514	62.3288	7.55703
-0.728548	380.027	62.2449	7.60963
-0.75895	379.517	62.157	7.66426
-0.789567	379.033	62.0747	7.71597
-0.804057	378.555	61.9962	7.76693
-0.822811	378.053	61.9177	7.82044
-0.837093	377.562	61.8405	7.87277
-0.848183	377.085	61.7638	7.92385
-0.849902	376.605	61.6844	7.97532
-0.846111	376.085	61.5996	8.0312
-0.838182	375.621	61.5239	8.08145
-0.821263	375.147	61.4479	8.1326
-0.80146	374.676	61.3751	8.18358
-0.778315	374.188	61.3022	8.23686
-0.763568	373.681	61.2301	8.29237
-0.7385	373.211	61.1656	8.34361
-0.695064	372.72	61.1013	8.39752
-0.662428	372.242	61.0396	8.45007
-0.607322	371.758	60.9765	8.50365
-0.577417	371.27	60.9145	8.55731
-0.521419	370.801	60.8519	8.60952
-0.47346	370.325	60.7856	8.66246
-0.39909	369.847	60.7169	8.71602
-0.347318	369.384	60.6491	8.76699
-0.293905	368.929	60.5793	8.8171
-0.236927	368.471	60.5073	8.86728
-0.181372	367.971	60.4298	8.92204
-0.10583	367.459	60.349	8.97835
-0.0539556	366.99	60.2719	9.02942
-0.00378	366.491	60.1889	9.08336
0.0545532	366.029	60.1105	9.13396
0.100718	365.565	60.0311	9.18462
0.133967	365.075	59.9463	9.23788
0.164262	364.541	59.8563	9.29542
0.186047	364.053	59.7713	9.34796
0.199356	363.555	59.6857	9.40213
0.214789	363.046	59.5985	9.45699
0.212403	362.559	59.5144	9.50917
0.212425	362.076	59.4329	9.56155
0.208344	361.56	59.3453	9.61734
0.196333	361.063	59.2594	9.67098
0.174669	360.574	59.1795	9.72391
0.155392	360.102	59.1064	9.77526
0.13651	359.619	59.0384	9.82749
0.113434	359.138	58.9758	9.87892
0.0742678	358.63	58.9117	9.93371
0.0374282	358.147	58.8507	9.98627
0.00562349	357.614	58.7809	10.0428
-0.052591	357.13	58.714	10.095
-0.101674	356.592	58.6392	10.1524
-0.158238	356.065	58.5649	10.2092
-0.206439	355.568	58.4926	10.263
-0.272546	355.057	58.4149	10.3182
-0.32221	354.582	58.3389	10.3688
-0.368995	354.095	58.2594	10.421
-0.411298	353.596	58.1749	10.4743
-0.469646	353.113	58.0904	10.5266
-0.51449	352.648	58.0083	10.5769
-0.557335	352.164	57.9223	10.6291
-0.58821	351.688	57.8405	10.6806
-0.624463	351.198	57.7564	10.7336
-0.650326	350.737	57.6767	10.784
-0.673323	350.274	57.5963	10.8342
-0.687162	349.778	57.5111	10.8877
-0.691281	349.31	57.4287	10.9383
-0.698039	348.809	57.3445	10.9922
-0.701339	348.332	57.2663	11.044
-0.705802	347.867	57.1895	11.0947
-0.699992	347.385	57.1101	11.147
-0.690049	346.907	57.0327	11.1992
-0.681033	346.43	56.9594	11.251
-0.670773	345.972	56.8935	11.3013
-0.657841	345.511	56.8278	11.3514
-0.629599	345.001	56.7589	11.4069
-0.610316	344.536	56.7022	11.4576
-0.581422	344.049	56.6412	11.5099
-0.553577	343.566	56.5819	11.5619
-0.52542	343.106	56.5269	11.6119
-0.496544	342.588	56.4625	11.6683
-0.463175	342.089	56.398	11.7229
-0.429742	341.623	56.3367	11.774
-0.391925	341.114	56.2662	11.8292
-0.36564	340.64	56.194	11.8809
-0.337572	340.174	56.1184	11.9319
-0.312033	339.702	56.0411	11.9837
-0.263752	339.198	55.9572	12.0388
-0.222558	338.719	55.8769	12.0911
-0.182541	338.26	55.7971	12.1411
-0.123055	337.737	55.7068	12.1979
-0.0764913	337.223	55.6168	12.2537
-0.0185993	336.73	55.5346	12.3075
0.0242909	336.266	55.4593	12.3576
0.0677641	335.791	55.3842	12.4092
0.114789	335.284	55.3034	12.4642
0.14363	334.825	55.2265	12.5143
0.182092	334.344	55.1432	12.5661
0.213093	333.88	55.0608	12.6165
0.228003	333.374	54.9692	12.671
0.248698	332.853	54.8771	12.7272
0.249904	332.349	54.7871	12.7818
0.246189	331.825	54.6959	12.8384
0.237488	331.343	54.6158	12.8902
0.223712	330.839	54.5367	12.9451
0.201821	330.341	54.4624	12.9996
0.180865	329.856	54.3905	13.0528
0.152008	329.381	54.3224	13.1049
0.133045	328.914	54.2595	13.1562
0.109419	328.452	54.2019	13.2063
0.0883789	327.931	54.1395	13.2627
0.0612375	327.457	54.0802	13.3142
0.0188491	326.954	54.0177	13.3688
-0.0172875	326.454	53.9505	13.4226
-0.0639043	325.927	53.8783	13.4792
-0.103791	325.451	53.8092	13.5306
-0.140788	324.965	53.7356	13.5834
-0.194407	324.477	53.6582	13.6366
-0.227934	323.941	53.569	13.6945
-0.261598	323.477	53.491	13.745
-0.294197	322.983	53.4038	13.7988
-0.322793	322.517	53.3207	13.8498
-0.351375	322.041	53.2371	13.9012
-0.382333	321.559	53.153	13.9531
-0.41622	321.064	53.065	14.0062
-0.434741	320.557	52.9727	14.0599
-0.454458	320.086	52.8904	14.1107
-0.473698	319.573	52.8015	14.1661
-0.47624	319.076	52.7135	14.2193
-0.486237	318.604	52.634	14.2702
-0.495276	318.114	52.5534	14.3232
-0.501944	317.626	52.4719	14.3758
-0.507007	317.145	52.3928	14.4277
-0.507076	316.67	52.3149	14.4788
-0.501858	316.169	52.2339	14.5326
-0.492956	315.692	52.1599	14.584
-0.480344	315.223	52.092	14.6346
-0.466033	314.76	52.0273	14.6848
-0.447433	314.248	51.9584	14.7403
-0.418338	313.739	51.8881	14.7959
-0.404268	313.246	51.82	14.8494
-0.386803	312.77	51.7512	14.9011
-0.34716	312.267	51.6765	14.9563
-0.319736	311.803	51.6069	15.007
-0.298934	311.298	51.5318	15.0618
-0.25572	310.837	51.4641	15.1129
-0.200168	310.37	51.397	15.1639
-0.12316	309.909	51.3312	15.215
-0.051263	309.455	51.2662	15.2654
0.0221016	308.996	51.2015	15.3163
0.0782133	308.499	51.1308	15.3706
0.13664	308.029	51.0588	15.4222
0.187443	307.567	50.9868	15.4728
0.235707	307.096	50.9115	15.524
0.287237	306.589	50.8257	15.5792
0.331547	306.082	50.7379	15.634
0.374787	305.616	50.6575	15.6846
0.41763	305.145	50.5762	15.7354
0.459701	304.622	50.4846	15.7919
0.493741	304.11	50.3973	15.847
0.516414	303.62	50.3142	15.8995
0.53352	303.147	50.2358	15.9507
0.541109	302.67	50.1574	16.0023
0.538202	302.197	50.0802	16.0538
0.525125	301.737	50.0072	16.1042
0.502078	301.216	49.9277	16.1608
0.478457	300.746	49.8588	16.2118
0.438052	300.252	49.7877	16.2662
0.407302	299.768	49.7204	16.3192
0.378411	299.285	49.6546	16.3726
0.337165	298.8	49.5847	16.4257
0.282267	298.324	49.5148	16.4785
0.23151	297.828	49.4407	16.5328
0.158368	297.312	49.3614	16.5891
0.0986747	296.836	49.2867	16.6409
0.0343136	296.348	49.2118	16.6939
-0.0483456	295.86	49.1362	16.7477
-0.103759	295.348	49.0538	16.8032
-0.164777	294.863	48.9751	16.8555
-0.236229	294.36	48.8919	16.9102
-0.28739	293.867	48.8101	16.9637
-0.348887	293.362	48.7268	17.0188
-0.385216	292.887	48.6467	17.0701
-0.426458	292.37	48.5597	17.126
-0.472547	291.885	48.4771	17.1789
-0.502631	291.406	48.3941	17.2309
-0.523524	290.939	48.3133	17.2817
-0.544718	290.45	48.2286	17.3344
-0.57295	289.963	48.1449	17.3872
-0.585266	289.475	48.0616	17.4396
-0.590047	289.003	47.9803	17.4906
-0.595571	288.491	47.8954	17.5453
-0.598905	288.014	47.8178	17.5965
-0.595731	287.521	47.74	17.6495
-0.587223	287.029	47.6631	17.7025
-0.577612	286.547	47.5878	17.7544
-0.566287	286.064	47.5137	17.8066
-0.54559	285.564	47.4378	17.8605
-0.527284	285.085	47.3674	17.9122
-0.511745	284.616	47.299	17.9628
-0.492492	284.153	47.2312	18.0132
-0.451697	283.646	47.1597	18.069
-0.419381	283.185	47.0978	18.1195
-0.396809	282.724	47.0393	18.1702
-0.362465	282.243	46.977	18.223
-0.321703	281.79	46.92	18.2731
-0.255723	281.289	46.8531	18.3295
-0.208746	280.826	46.7921	18.3813
-0.152051	280.354	46.7261	18.434
-0.0809735	279.855	46.6517	18.4895
-0.0290214	279.356	46.5739	18.5442
0.0270846	278.884	46.4985	18.5961
0.0902336	278.427	46.4237	18.6466
0.159902	277.95	46.3445	18.6989
0.210489	277.453	46.2611	18.753
0.259577	276.986	46.1828	18.8041
0.303191	276.528	46.1053	18.8542
0.338862	276.068	46.027	18.9044
0.38857	275.558	45.9418	18.9603
0.415956	275.051	45.8566	19.0159
0.451557	274.576	45.7769	19.0677
0.467215	274.117	45.6984	19.1178
0.4746	273.613	45.6098	19.1728
0.480226	273.139	45.5261	19.2244
0.481127	272.659	45.4419	19.2762
0.480007	272.177	45.3584	19.3283
0.472361	271.698	45.2775	19.3801
0.461444	271.233	45.1996	19.4304
0.443475	270.769	45.1258	19.4804
0.425033	270.291	45.0546	19.532
0.399636	269.786	44.9826	19.5865
0.363991	269.299	44.9172	19.6395
0.330171	268.81	44.8562	19.6928
0.297098	268.336	44.7963	19.7446
0.243102	267.85	44.7338	19.7976
0.189253	267.379	44.6709	19.8492
0.149499	266.871	44.6008	19.9039
0.0888689	266.355	44.5266	19.9601
