x	y	z	t
0.524625	449.918	73.525	0.0586735
0.526069	449.172	73.4081	0.114484
0.526967	448.425	73.2914	0.169883
0.527902	447.682	73.1753	0.225111
0.528446	446.956	73.0617	0.279098
0.528761	446.283	72.9564	0.329332
0.52886	445.607	72.8508	0.380032
0.528097	444.892	72.7391	0.433352
0.526893	444.163	72.6254	0.487476
0.525565	443.467	72.5166	0.539427
0.524569	442.728	72.4017	0.594858
0.52467	441.972	72.2834	0.651498
0.525781	441.214	72.1659	0.708183
0.527156	440.458	72.0485	0.764806
0.528096	439.729	71.9347	0.819487
0.528917	438.959	71.8141	0.87712
0.530355	438.272	71.7057	0.928295
0.532833	437.543	71.5898	0.982858
0.537941	436.849	71.4781	1.03498
0.542686	436.139	71.3629	1.08839
0.548308	435.363	71.2361	1.14637
0.551873	434.655	71.121	1.19954
0.558667	433.944	71.007	1.25295
0.565653	433.248	70.8988	1.30549
0.576293	432.53	70.7892	1.35935
0.590365	431.812	70.683	1.41342
0.606332	431.075	70.5743	1.469
0.629744	430.397	70.4753	1.52054
0.646435	429.716	70.3744	1.57258
0.657966	428.992	70.265	1.62764
0.690923	428.299	70.1578	1.68045
0.715339	427.617	70.0513	1.73241
0.730584	426.88	69.9339	1.7882
0.756549	426.174	69.8194	1.84111
0.788978	425.421	69.6961	1.8972
0.828098	424.658	69.5693	1.954
0.857553	423.923	69.4448	2.00851
0.89646	423.208	69.3206	2.06146
0.921633	422.444	69.1824	2.11796
0.942283	421.679	69.0424	2.1744
0.951337	420.949	68.911	2.22845
0.950599	420.215	68.7806	2.28277
0.936307	419.468	68.6509	2.33802
0.905934	418.698	68.5245	2.39474
0.86769	417.942	68.4036	2.45069
0.835208	417.221	68.2914	2.50439
0.785168	416.495	68.1813	2.55869
0.701852	415.77	68.0774	2.61334
0.622031	415.047	67.984	2.6681
0.530444	414.374	67.8999	2.71954
0.405407	413.638	67.814	2.77661
0.2958	412.938	67.7276	2.83062
0.170074	412.218	67.6363	2.88651
0.0633837	411.566	67.545	2.93759
-0.0364774	410.927	67.4467	2.98766
-0.169592	410.226	67.3282	3.04319
-0.255312	409.483	67.1931	3.10076
-0.370096	408.82	67.0677	3.15192
-0.437418	408.122	66.9274	3.20554
-0.514439	407.422	66.7879	3.25904
-0.594189	406.68	66.6342	3.31497
-0.659619	405.936	66.4885	3.37052
-0.697866	405.207	66.3444	3.42489
-0.71624	404.496	66.2168	3.47791
-0.719636	403.818	66.102	3.5287
-0.695917	403.086	65.9857	3.58376
-0.665094	402.385	65.8837	3.63682
-0.614614	401.701	65.7898	3.68922
-0.530397	401.023	65.7029	3.74148
-0.460889	400.33	65.6238	3.79532
-0.363713	399.63	65.5426	3.85001
-0.230269	398.962	65.4677	3.90358
-0.139205	398.335	65.405	3.95443
-0.0352401	397.695	65.3303	4.00634
0.0727368	397.048	65.2463	4.05893
0.227358	396.394	65.1518	4.11283
0.319264	395.756	65.0468	4.16505
0.454926	395.106	64.9302	4.21838
0.582893	394.472	64.8081	4.2692
0.739748	393.769	64.669	4.32415
0.832394	393.007	64.5103	4.38185
0.937141	392.265	64.3538	4.43757
1.00901	391.556	64.2121	4.49047
1.08136	390.851	64.0762	4.54309
1.11474	390.088	63.9346	4.59934
1.13366	389.295	63.7967	4.6577
1.12476	388.547	63.6708	4.71294
1.09986	387.84	63.5563	4.76505
