x	y	z	t
0.445856	449.542	73.3865	0.0528916
0.444807	448.624	73.2419	0.111038
0.443832	447.778	73.1077	0.164754
0.443534	446.86	72.9611	0.222893
0.443636	446.032	72.8296	0.275574
0.445409	445.225	72.7005	0.326995
0.449107	444.404	72.5684	0.379309
0.45337	443.546	72.4305	0.433864
0.460439	442.746	72.3002	0.485164
0.476869	441.854	72.1538	0.541983
0.495413	440.974	72.0103	0.598286
0.513233	440.159	71.879	0.650792
0.539594	439.279	71.7384	0.707005
0.564115	438.474	71.6124	0.758415
0.587552	437.69	71.4926	0.808683
0.61317	436.892	71.3718	0.860212
0.662812	436.035	71.2406	0.915133
0.686853	435.242	71.1154	0.966273
0.702769	434.378	70.9735	1.02123
0.735442	433.547	70.8354	1.07415
0.75632	432.726	70.6963	1.12674
0.773729	431.894	70.5523	1.18034
0.793193	431.052	70.4107	1.23372
0.810929	430.174	70.2645	1.28972
0.820943	429.393	70.1387	1.33976
0.82066	428.599	70.0145	1.39046
0.790132	427.749	69.8855	1.44476
0.759838	426.876	69.7602	1.50043
0.695369	425.994	69.6381	1.55701
0.638622	425.123	69.5149	1.61294
0.548567	424.287	69.3983	1.66753
0.447671	423.411	69.2724	1.72465
0.363766	422.625	69.161	1.77659
0.284505	421.849	69.0508	1.82815
0.194624	421.067	68.9371	1.87996
0.117891	420.284	68.821	1.93073
0.0462151	419.523	68.7062	1.98076
-0.0423939	418.696	68.5759	2.03483
-0.0935709	417.857	68.4367	2.08951
-0.137918	417.018	68.2964	2.14366
-0.184339	416.14	68.1474	2.20026
-0.213659	415.333	68.0121	2.25215
-0.234822	414.55	67.8816	2.30267
-0.246111	413.758	67.7502	2.35365
-0.238584	412.953	67.6184	2.40549
-0.223447	412.092	67.48	2.46125
-0.179514	411.251	67.3498	2.51538
-0.131231	410.43	67.2292	2.5684
-0.0671617	409.656	67.1214	2.61846
0.00692156	408.85	67.0147	2.67069
0.0850212	408.057	66.9156	2.72222
0.195274	407.196	66.814	2.77924
0.319062	406.349	66.7064	2.83571
0.420478	405.571	66.6002	2.88743
0.50343	404.807	66.4876	2.93834
0.607677	403.965	66.3512	2.99474
0.737035	403.189	66.2174	3.04693
0.808153	402.397	66.0676	3.09923
0.915485	401.537	65.9043	3.15608
0.978588	400.732	65.7426	3.20846
1.0329	399.884	65.5831	3.26329
1.08314	399.035	65.4254	3.31833
1.10918	398.186	65.2827	3.37282
1.12041	397.404	65.1569	3.42286
1.11001	396.544	65.0259	3.47802
1.07858	395.671	64.8958	3.53386
1.0242	394.811	64.7728	3.58942
0.969354	394.011	64.6596	3.64118
0.90394	393.182	64.5454	3.69487
