x	y	z	t
0.45814	449.614	73.3914	0.0551302
0.455112	448.892	73.276	0.10574
0.451422	448.115	73.149	0.160305
0.445388	447.365	73.0259	0.212938
0.442289	446.57	72.8934	0.268534
0.446112	445.817	72.7717	0.321257
0.455174	445.074	72.6524	0.373959
0.46569	444.337	72.5342	0.425918
0.486851	443.559	72.409	0.480715
0.507852	442.853	72.2959	0.530821
0.537778	442.078	72.1721	0.585588
0.559384	441.303	72.0471	0.640189
0.582758	440.571	71.93	0.692001
0.6105	439.848	71.8142	0.743702
0.650418	439.075	71.6907	0.79949
0.686122	438.367	71.5797	0.850727
0.728903	437.679	71.4777	0.900964
0.792724	436.898	71.3725	0.958259
0.847572	436.211	71.284	1.00877
0.899628	435.493	71.1906	1.06146
0.942161	434.79	71.0946	1.11251
0.974161	434.072	70.9924	1.16442
1.00233	433.344	70.8867	1.21709
1.01749	432.647	70.7835	1.26736
1.02948	431.926	70.6765	1.31911
1.04098	431.225	70.5702	1.36932
1.04681	430.452	70.4507	1.42465
1.0578	429.673	70.3288	1.48028
1.06447	428.861	70.2008	1.53772
1.06425	428.065	70.0748	1.59427
1.05519	427.293	69.9508	1.64881
1.04729	426.5	69.8219	1.70448
1.0358	425.715	69.6939	1.75937
1.01707	424.965	69.5714	1.81225
0.994555	424.239	69.4511	1.86351
0.957243	423.442	69.3164	1.91965
0.922477	422.723	69.1958	1.97081
0.882398	422.014	69.0791	2.0209
0.835525	421.262	68.958	2.07345
0.775218	420.457	68.8343	2.12908
0.72427	419.708	68.7228	2.18069
0.66958	418.941	68.6106	2.23324
0.595092	418.063	68.4843	2.29232
0.518648	417.205	68.3607	2.34947
0.454189	416.39	68.2397	2.40337
0.375987	415.591	68.1195	2.45619
0.305856	414.731	67.9927	2.51307
0.227075	413.97	67.8848	2.56333
0.119167	413.157	67.7721	2.61716
0.0307343	412.378	67.6699	2.66835
-0.0592495	411.566	67.5558	2.72165
-0.165656	410.713	67.4271	2.77823
-0.264376	409.928	67.2994	2.83017
-0.37139	409.087	67.154	2.8858
-0.433386	408.268	67.0022	2.93938
-0.501782	407.42	66.8459	2.99511
-0.56741	406.578	66.6836	3.05034
-0.626694	405.692	66.5224	3.10807
-0.643581	404.902	66.3747	3.15937
-0.651202	404.07	66.2283	3.21328
-0.645529	403.283	66.0932	3.26411
-0.622203	402.48	65.9584	3.31599
-0.586641	401.624	65.8204	3.37161
-0.539555	400.836	65.7013	3.42264
-0.461356	399.995	65.5812	3.47792
-0.38779	399.155	65.4756	3.53337
-0.274482	398.32	65.3784	3.58931
-0.173209	397.551	65.2838	3.64051
-0.0228905	396.739	65.1785	3.69593
0.0780895	395.932	65.0668	3.7502
0.189331	395.158	64.9493	3.80218
0.350478	394.379	64.8141	3.85526
0.461645	393.626	64.6713	3.90641
0.554215	392.789	64.4978	3.96183
0.641254	392.02	64.338	4.01257
0.742869	391.178	64.1673	4.06816
0.791644	390.306	63.9917	4.12518
0.82677	389.445	63.8297	4.18089
0.826161	388.664	63.6959	4.23159
0.795272	387.808	63.5583	4.28674
0.727381	386.921	63.4319	4.34396
0.644703	386.13	63.3335	4.39545
0.520081	385.3	63.245	4.4499
0.407782	384.458	63.1519	4.5057
0.287226	383.717	63.072	4.55578
0.143535	382.885	62.9778	4.61253
0.0183541	382.118	62.8794	4.66493
-0.127213	381.33	62.7641	4.72031
-0.245962	380.604	62.639	4.77087
-0.37758	379.861	62.4972	4.82303
-0.48698	379.123	62.3491	4.87344
-0.610548	378.308	62.176	4.92904
-0.695081	377.532	62.0212	4.98049
-0.7599	376.711	61.864	5.0347
-0.818006	375.874	61.7058	5.08946
-0.842013	375.007	61.5533	5.14551
-0.844098	374.132	61.4034	5.20207
-0.835212	373.273	61.2635	5.25797
-0.814526	372.393	61.1336	5.31484
-0.757656	371.531	61.0142	5.37082
-0.694866	370.711	60.9081	5.42463
-0.603693	369.929	60.8176	5.47603
-0.551014	369.122	60.7388	5.52978
-0.468182	368.341	60.6609	5.5826
-0.379467	367.57	60.5845	5.63551
-0.253051	366.74	60.4991	5.69298
-0.108794	365.973	60.4042	5.74645
-0.0134663	365.144	60.2837	5.80308
0.127615	364.319	60.1408	5.85945
0.249319	363.509	59.9875	5.91397
0.412901	362.706	59.8285	5.96753
0.513947	361.877	59.6541	6.02165
0.628374	361.033	59.4879	6.07713
0.695583	360.167	59.321	6.13353
0.752148	359.297	59.1644	6.18975
0.775313	358.491	59.029	6.2413
0.77586	357.595	58.8852	6.29884
0.746454	356.765	58.7593	6.35203
0.701067	355.941	58.6416	6.4046
0.637589	355.155	58.5343	6.45534
0.543934	354.326	58.4248	6.50887
0.459968	353.509	58.3208	6.56263
0.332007	352.682	58.2052	6.61746
0.246918	351.825	58.0803	6.67424
0.124322	350.988	57.951	6.7306
0.0206214	350.206	57.8223	6.78385
-0.0960282	349.382	57.6796	6.84013
-0.210296	348.576	57.5342	6.89495
-0.346842	347.769	57.3862	6.94949
-0.421423	346.936	57.2286	7.00472
-0.514784	346.137	57.082	7.0574
-0.558849	345.336	56.9342	7.10954
-0.595143	344.551	56.7976	7.16044
-0.615766	343.676	56.6538	7.21675
-0.608768	342.854	56.5248	7.26994
-0.586783	341.989	56.398	7.32577
-0.533829	341.126	56.2882	7.38187
-0.47572	340.334	56.1902	7.43376
-0.374414	339.536	56.0956	7.48656
-0.312286	338.702	56.0051	7.54194
-0.219929	337.937	55.9187	7.5935
-0.0829215	337.172	55.8308	7.64605
-0.00214612	336.362	55.7301	7.70109
0.133366	335.554	55.6119	7.75645
0.226846	334.755	55.4733	7.81116
0.321891	333.978	55.3256	7.86391
0.427082	333.206	55.1715	7.91547
0.529785	332.429	55.0153	7.96723
0.58497	331.561	54.8427	8.02349
0.635344	330.702	54.6839	8.07965
0.652185	329.874	54.5361	8.13368
0.651985	329.014	54.3942	8.18934
0.62412	328.127	54.2551	8.24669
0.567246	327.294	54.1353	8.30094
0.498201	326.459	54.0218	8.35486
0.399509	325.609	53.9196	8.41
0.311737	324.77	53.8191	8.46529
0.201019	324.001	53.7316	8.51662
0.0438579	323.213	53.6377	8.56985
-0.058886	322.475	53.5393	8.62026
-0.172884	321.698	53.4154	8.67391
-0.33085	320.887	53.2652	8.73102
-0.435812	320.096	53.1109	8.78517
-0.579908	319.294	52.9497	8.83998
-0.647309	318.467	52.7786	8.89511
-0.734112	317.62	52.6112	8.95129
-0.787196	316.793	52.4588	9.0055
-0.82993	315.934	52.3048	9.0612
-0.846276	315.1	52.1655	9.1151
-0.852405	314.284	52.0353	9.1681
-0.850111	313.437	51.9096	9.22305
-0.815858	312.602	51.7949	9.27739
-0.772303	311.791	51.6907	9.33031
-0.731198	310.939	51.5862	9.38566
-0.667646	310.17	51.4935	9.43623
-0.558337	309.389	51.4012	9.48879
-0.486231	308.537	51.3044	9.54569
-0.350951	307.757	51.2096	9.59932
-0.259713	306.994	51.1125	9.65219
-0.147643	306.253	50.9992	9.70369
-2.0057e-005	305.475	50.868	9.75726
0.0783424	304.655	50.7137	9.81232
0.184034	303.848	50.5585	9.86641
0.287026	302.999	50.3854	9.9225
0.371228	302.148	50.2204	9.97811
0.409792	301.33	50.0632	10.0311
0.432004	300.503	49.9199	10.0839
0.428809	299.641	49.7801	10.1391
0.405475	298.78	49.6491	10.1944
0.351245	297.921	49.5262	10.2496
0.295222	297.098	49.4224	10.3021
0.188388	296.227	49.3138	10.3585
0.0875896	295.427	49.2178	10.4107
0.00875288	294.574	49.1141	10.4665
-0.0965571	293.722	48.9965	10.5232
-0.193193	292.906	48.8722	10.5773
-0.325972	292.161	48.7488	10.6278
-0.403211	291.356	48.6057	10.6821
-0.487006	290.551	48.4618	10.7359
-0.557915	289.763	48.318	10.7877
-0.641469	288.983	48.174	10.8393
-0.686337	288.114	48.011	10.8956
-0.732967	287.235	47.8507	10.9521
-0.756811	286.424	47.7108	11.0043
-0.768881	285.563	47.5692	11.0595
-0.768165	284.719	47.4388	11.1141
-0.745399	283.915	47.3265	11.1661
-0.685405	283.134	47.2272	11.2172
-0.641698	282.305	47.1358	11.2718
-0.573325	281.514	47.0494	11.3246
-0.47148	280.683	46.9696	11.3809
-0.378334	279.884	46.8846	11.4356
-0.246995	279.106	46.7946	11.4895
-0.161415	278.343	46.6929	11.5424
-0.0583768	277.601	46.576	11.5926
0.0377652	276.841	46.442	11.6433
0.13258	276.034	46.2881	11.6967
0.226778	275.261	46.131	11.7475
0.332368	274.4	45.9495	11.8029
0.40391	273.619	45.7922	11.8531
0.477082	272.751	45.6283	11.9083
0.514459	271.849	45.4635	11.9651
0.531016	270.997	45.3194	12.0189
0.521928	270.142	45.182	12.0733
0.491056	269.314	45.0578	12.1262
0.428526	268.439	44.9363	12.1816
0.361262	267.621	44.828	12.2345
0.276879	266.83	44.7298	12.2854
0.182909	266.044	44.6332	12.3363
0.0631637	265.181	44.5239	12.3931
-0.0731166	264.331	44.4045	12.4498
-0.170738	263.571	44.2901	12.5008
-0.241153	262.72	44.1521	12.5573
-0.381009	261.93	44.0177	12.6102
-0.453137	261.11	43.8721	12.6648
-0.530241	260.317	43.7295	12.7174
-0.615058	259.463	43.57	12.7734
-0.696412	258.613	43.4148	12.8285
-0.737934	257.775	43.2599	12.8824
-0.772139	256.914	43.1095	12.9375
-0.799272	256.039	42.9602	12.9935
-0.808947	255.22	42.8274	13.046
-0.802561	254.436	42.7076	13.0962
-0.765	253.63	42.5951	13.1482
-0.71986	252.847	42.4952	13.1992
-0.662237	252.03	42.4048	13.2529
-0.588221	251.237	42.3167	13.3057
-0.505629	250.48	42.2348	13.3568
-0.417018	249.736	42.1496	13.4068
-0.293815	248.909	42.0449	13.4634
-0.203662	248.12	41.9256	13.5168
-0.0725414	247.341	41.7935	13.5701
0.00322157	246.5	41.6336	13.6262
0.117563	245.732	41.4839	13.6778
0.190046	244.961	41.332	13.729
0.245322	244.141	41.1674	13.7826
0.292864	243.326	41.0156	13.8353
0.322686	242.504	40.8715	13.8885
0.333737	241.641	40.7305	13.9441
0.321786	240.873	40.6137	13.9941
0.292399	240.068	40.4979	14.0462
0.224808	239.234	40.3862	14.0998
0.157119	238.459	40.2907	14.1503
0.0835956	237.665	40.2053	14.2024
-0.000646055	236.882	40.1175	14.2543
-0.089498	236.083	40.0201	14.3075
-0.193256	235.258	39.9106	14.3626
-0.298414	234.512	39.7962	14.4127
-0.404763	233.72	39.6638	14.4655
-0.497138	232.938	39.524	14.5173
-0.620523	232.084	39.3621	14.5742
-0.714033	231.307	39.2141	14.6252
-0.806417	230.488	39.0584	14.679
-0.864808	229.699	38.9088	14.7307
-0.910513	228.834	38.7443	14.7867
-0.954207	227.99	38.5925	14.841
-0.975078	227.142	38.4447	14.8955
-0.982186	226.347	38.3152	14.9462
-0.972673	225.553	38.1944	14.9975
-0.929212	224.751	38.0821	15.0497
-0.886612	223.923	37.9765	15.1038
-0.828316	223.098	37.8742	15.1583
-0.721553	222.335	37.7886	15.2096
-0.632247	221.576	37.7058	15.261
-0.551384	220.755	37.621	15.3163
-0.406824	219.977	37.5303	15.37
-0.308683	219.164	37.4235	15.4254
-0.186654	218.401	37.3013	15.4778
-0.0475204	217.575	37.1493	15.5337
0.0654803	216.81	36.9997	15.5845
0.190879	215.961	36.8325	15.6407
0.271882	215.136	36.6599	15.6944
0.348698	214.322	36.4972	15.7477
0.418369	213.512	36.3421	15.8002
0.438671	212.648	36.1839	15.8554
0.437513	211.751	36.0332	15.9129
0.41464	210.916	35.9033	15.966
0.356048	210.053	35.7771	16.0211
0.287823	209.275	35.6722	16.0713
0.215738	208.411	35.5676	16.1268
0.100877	207.613	35.4741	16.1789
0.0200054	206.753	35.3756	16.2357
-0.108332	205.945	35.2706	16.2905
-0.212273	205.158	35.156	16.3436
-0.349715	204.359	35.0253	16.3984
-0.405876	203.518	34.8744	16.4544
-0.513526	202.764	34.7349	16.5051
-0.62659	201.931	34.5819	16.5606
-0.695241	201.12	34.4268	16.6142
-0.78117	200.264	34.2695	16.6699
-0.82877	199.486	34.1268	16.7206
-0.857843	198.708	33.9887	16.7708
-0.874224	197.892	33.8505	16.8232
-0.879993	197.044	33.7173	16.8775
-0.85829	196.234	33.5976	16.9298
-0.833317	195.358	33.4796	16.9863
-0.759015	194.54	33.375	17.0398
-0.700161	193.733	33.2888	17.093
-0.620018	192.938	33.206	17.1459
-0.493179	192.126	33.118	17.2012
-0.388484	191.377	33.0368	17.2525
-0.271436	190.655	32.951	17.3026
-0.164792	189.868	32.8428	17.3565
-0.0130178	189.068	32.7141	17.4117
0.0697224	188.224	32.5571	17.4677
0.210382	187.426	32.3997	17.5212
0.296709	186.641	32.2387	17.573
0.37785	185.857	32.0689	17.6242
0.442292	185.037	31.9074	17.6773
0.493301	184.261	31.7613	17.7276
0.531142	183.414	31.6121	17.7821
