x	y	z	t
0.508455	450.099	73.6971	0.0509898
0.498387	449.265	73.5493	0.1041
0.488096	448.391	73.3736	0.159399
0.472442	447.568	73.1749	0.210915
0.461961	446.721	72.9761	0.264279
0.446912	445.813	72.7578	0.321221
0.433129	444.929	72.5656	0.377282
0.406014	444.036	72.3765	0.434175
0.361435	443.176	72.2163	0.489736
0.317833	442.399	72.0882	0.539948
0.270814	441.529	71.9547	0.596635
0.202942	440.748	71.8425	0.647622
0.158177	439.896	71.7265	0.703787
0.0986428	439.115	71.6182	0.756014
0.0183066	438.266	71.4959	0.813222
-0.054057	437.503	71.3756	0.864659
-0.163168	436.735	71.2406	0.917369
-0.237834	435.953	71.0899	0.970119
-0.312757	435.159	70.9399	1.02356
-0.381678	434.405	70.7982	1.07438
-0.445684	433.555	70.6444	1.13154
-0.482923	432.718	70.5046	1.18689
-0.485385	431.852	70.3725	1.24321
-0.467936	430.978	70.2508	1.29995
-0.452684	430.142	70.1503	1.35454
-0.397481	429.346	70.056	1.40713
-0.339286	428.565	69.9647	1.4591
-0.293857	427.779	69.8761	1.5115
-0.197034	426.997	69.7789	1.56441
-0.104581	426.244	69.6768	1.61586
0.0225603	425.427	69.5517	1.67208
0.123324	424.673	69.4195	1.72427
0.294632	423.884	69.271	1.77969
0.369094	423.106	69.1081	1.8328
0.461101	422.352	68.9523	1.88397
0.579695	421.532	68.7865	1.93973
0.635583	420.736	68.6245	1.99258
0.676456	419.969	68.4836	2.04334
0.699147	419.18	68.3518	2.09502
0.698541	418.35	68.2267	2.14915
0.678218	417.543	68.1208	2.2016
0.638675	416.76	68.0237	2.25276
0.585997	415.948	67.9258	2.30579
0.516065	415.104	67.8288	2.3615
0.395544	414.275	67.7254	2.41752
0.327317	413.438	67.6198	2.47467
0.225413	412.634	67.5095	2.5307
0.121347	411.85	67.3859	2.58608
-0.0573831	411.104	67.2526	2.63958
-0.139321	410.381	67.1048	2.69074
-0.252448	409.589	66.9438	2.74655
-0.399911	408.772	66.774	2.8041
-0.493524	408.012	66.6243	2.85582
-0.580469	407.217	66.4695	2.91028
-0.626409	406.413	66.3245	2.96415
-0.658692	405.57	66.182	3.01976
-0.65303	404.706	66.0504	3.07606
-0.630147	403.864	65.9367	3.13115
-0.589434	403.085	65.8397	3.18166
-0.539455	402.304	65.748	3.23243
-0.438025	401.463	65.6465	3.28802
-0.349864	400.702	65.5533	3.33867
-0.275016	399.884	65.4492	3.39396
-0.123584	399.107	65.3403	3.4483
-0.0365538	398.327	65.2245	3.50292
0.11691	397.552	65.1008	3.55806
0.203185	396.763	64.9627	3.61383
0.282626	396.048	64.8309	3.66405
0.442767	395.269	64.6844	3.71883
0.515378	394.463	64.5274	3.77352
0.589242	393.688	64.3809	3.8257
0.666411	392.847	64.2253	3.88135
0.709522	392.059	64.0909	3.93291
0.738777	391.197	63.9574	3.98894
0.737474	390.422	63.8473	4.03899
0.723998	389.605	63.7368	4.09155
0.679157	388.721	63.6157	4.14872
0.643929	387.917	63.5142	4.20112
0.580761	387.067	63.4033	4.2568
0.471682	386.262	63.299	4.3105
0.398675	385.471	63.1975	4.36358
0.320205	384.722	63.0946	4.41439
0.233864	384.001	62.9904	4.46451
0.0922996	383.209	62.8673	4.52175
