x	y	z	t
0.552871	450.187	73.7204	0.0544304
0.546154	449.532	73.5785	0.105711
0.537818	448.871	73.4256	0.157365
0.527199	448.183	73.256	0.211044
0.516046	447.538	73.1071	0.261791
0.502566	446.865	72.9587	0.314887
0.48455	446.162	72.8054	0.371326
0.470966	445.465	72.669	0.427798
0.441126	444.804	72.5419	0.481723
0.414618	444.134	72.4233	0.536653
0.361136	443.454	72.3065	0.592434
0.285194	442.783	72.2038	0.647692
0.223065	442.155	72.1212	0.698812
0.180537	441.464	72.0408	0.755557
0.138307	440.856	71.9664	0.806211
0.0897697	440.192	71.8833	0.862187
0.0154984	439.518	71.7897	0.919721
-0.0220225	438.918	71.6997	0.971113
-0.0848333	438.261	71.5906	1.02799
-0.170157	437.65	71.4745	1.08193
-0.252339	437.029	71.349	1.13595
-0.359728	436.386	71.2037	1.19198
-0.444575	435.716	71.058	1.24881
-0.532124	435.086	70.9135	1.30239
-0.609565	434.416	70.7759	1.35849
-0.649414	433.734	70.64	1.41508
-0.672171	433.037	70.5172	1.47143
-0.671986	432.356	70.4132	1.5262
-0.657886	431.65	70.3271	1.58278
-0.618133	430.982	70.2591	1.63739
-0.602528	430.309	70.2076	1.69259
-0.566146	429.679	70.1575	1.74566
-0.486035	429.065	70.1053	1.79888
-0.44721	428.445	70.0522	1.8529
-0.36857	427.801	69.9792	1.90975
-0.268931	427.18	69.9022	1.96559
-0.144208	426.569	69.8127	2.01955
-0.0629282	425.965	69.7128	2.07287
0.056334	425.344	69.596	2.12775
0.226599	424.777	69.4791	2.17926
0.346442	424.166	69.3374	2.23265
0.491298	423.507	69.1914	2.28902
0.58825	422.906	69.0575	2.34028
0.677458	422.308	68.9289	2.39068
0.738582	421.626	68.7873	2.44734
0.795128	420.996	68.6677	2.49913
0.807871	420.372	68.5623	2.55035
0.792713	419.763	68.4694	2.60035
0.752116	419.142	68.3784	2.65127
0.687891	418.503	68.2898	2.70405
0.608917	417.863	68.2033	2.75701
0.504379	417.174	68.1194	2.8146
0.418364	416.571	68.0496	2.86533
0.292874	415.957	67.9775	2.91852
0.193571	415.374	67.9071	2.96981
0.115758	414.732	67.8256	3.02692
0.00199533	414.126	67.7391	3.08309
-0.161627	413.525	67.6399	3.14042
-0.238576	412.914	67.5237	3.19712
-0.393856	412.341	67.4073	3.25182
-0.491166	411.746	67.2751	3.30651
-0.599147	411.176	67.1499	3.35703
-0.712832	410.514	67.0018	3.4144
-0.813792	409.843	66.8618	3.47112
-0.857666	409.176	66.7236	3.52624
-0.888752	408.566	66.6111	3.57626
-0.898101	407.88	66.5	3.6322
-0.887811	407.218	66.4075	3.68624
-0.837367	406.567	66.331	3.73971
-0.793849	405.887	66.2717	3.79587
-0.703922	405.223	66.2123	3.85175
-0.643296	404.586	66.1645	3.90633
-0.541681	403.958	66.1135	3.96196
-0.454231	403.331	66.0497	4.01791
-0.301943	402.774	65.9906	4.07011
-0.227505	402.165	65.9171	4.12593
-0.0745153	401.576	65.8305	4.18262
0.0759264	400.965	65.7256	4.23923
0.178175	400.342	65.6056	4.29594
0.34638	399.752	65.4866	4.35019
0.43989	399.136	65.3548	4.40434
0.548803	398.536	65.2334	4.45691
0.662294	397.894	65.1102	4.51129
0.739026	397.245	64.9902	4.56532
0.80276	396.602	64.8829	4.618
0.859553	395.949	64.7799	4.67138
0.893468	395.292	64.6836	4.72459
0.91504	394.617	64.5879	4.77921
0.916314	393.992	64.5021	4.83034
0.917013	393.344	64.4182	4.88352
0.900333	392.68	64.3314	4.9377
0.853486	392.046	64.2517	4.98987
0.821182	391.366	64.1688	5.04597
0.75714	390.693	64.0837	5.10213
0.695212	390.084	64.0023	5.15302
0.628592	389.456	63.916	5.20531
0.552838	388.854	63.8326	5.25613
0.462462	388.238	63.7459	5.30839
0.329889	387.627	63.6588	5.36117
0.2361	386.977	63.5666	5.41667
0.118668	386.393	63.4795	5.46798
-0.0386093	385.802	63.386	5.52028
-0.141627	385.163	63.2737	5.57533
-0.255272	384.579	63.1659	5.62626
-0.389325	383.927	63.0344	5.6834
-0.493527	383.282	62.9045	5.73887
-0.606425	382.606	62.7611	5.79615
-0.709186	381.937	62.6241	5.85226
-0.774414	381.281	62.4843	5.90686
-0.838583	380.589	62.3436	5.9638
-0.871723	379.913	62.2167	6.01912
-0.889096	379.228	62.0944	6.075
-0.880968	378.544	61.9845	6.13067
-0.859392	377.87	61.888	6.18583
-0.800673	377.192	61.8014	6.24167
-0.747623	376.546	61.7365	6.2949
-0.686102	375.908	61.6735	6.34784
-0.565617	375.273	61.6119	6.40208
-0.494538	374.616	61.5518	6.45769
-0.384085	373.986	61.4908	6.5126
-0.294277	373.369	61.4192	6.56645
-0.157014	372.739	61.3397	6.62231
-0.0765178	372.166	61.2607	6.67271
0.0178597	371.527	61.1612	6.72867
0.13121	370.897	61.0533	6.78435
0.263707	370.258	60.9409	6.84069
0.351077	369.678	60.8338	6.89084
0.427071	369.059	60.7124	6.94442
0.504061	368.449	60.5937	6.9967
0.574224	367.832	60.4729	7.04927
0.661295	367.193	60.3436	7.10322
0.716704	366.549	60.2217	7.15667
0.77402	365.91	60.1043	7.20952
0.80582	365.247	59.9859	7.26386
0.82888	364.588	59.8761	7.31719
0.837994	363.923	59.7713	7.37089
0.831547	363.287	59.6766	7.42251
0.816407	362.66	59.5934	7.47351
0.783604	362.024	59.5117	7.52576
0.739882	361.414	59.4381	7.57625
0.684833	360.808	59.3663	7.62667
0.593806	360.154	59.2855	7.68196
0.527057	359.496	59.2059	7.73752
0.446901	358.898	59.1292	7.78891
0.320735	358.247	59.0429	7.8462
0.227428	357.651	58.9594	7.89799
0.144354	357.067	58.8747	7.94873
-0.00210397	356.484	58.7845	8.00091
-0.0795623	355.882	58.6846	8.0535
-0.194798	355.319	58.584	8.10381
-0.313352	354.716	58.472	8.15673
-0.41964	354.119	58.354	8.20866
-0.540533	353.478	58.219	8.26449
-0.632676	352.837	58.0873	8.31937
-0.739143	352.2	57.951	8.37376
-0.808911	351.529	57.8197	8.43013
-0.874405	350.854	57.6912	8.48536
-0.913343	350.199	57.5782	8.5386
-0.939758	349.494	57.467	8.595
-0.941243	348.872	57.3783	8.64531
-0.928569	348.206	57.2901	8.69997
-0.896102	347.55	57.2146	8.75401
-0.847912	346.877	57.1371	8.80956
-0.772224	346.222	57.0712	8.86434
-0.706775	345.596	57.0035	8.91709
-0.60425	344.97	56.9348	8.9705
-0.541375	344.315	56.8646	9.02599
-0.399708	343.683	56.7889	9.08161
-0.327605	343.067	56.7149	9.13524
-0.191997	342.449	56.63	9.1902
-0.111251	341.827	56.5384	9.24449
0.0220281	341.195	56.4363	9.30042
0.0961903	340.551	56.3223	9.35619
0.23592	339.93	56.2093	9.41079
0.338379	339.335	56.0965	9.46187
0.416578	338.674	55.9656	9.51799
0.531308	338.058	55.8454	9.57086
0.605249	337.423	55.7188	9.62447
0.683291	336.803	55.6007	9.67664
0.741297	336.157	55.4806	9.73029
0.805112	335.499	55.361	9.78466
0.848111	334.863	55.2525	9.83707
0.878309	334.201	55.1459	9.89108
0.890072	333.589	55.053	9.94111
0.88338	332.962	54.9629	9.99259
0.873037	332.27	54.8707	10.0494
0.829161	331.633	54.7886	10.1017
0.79501	331.003	54.7143	10.1536
0.740969	330.33	54.6304	10.2096
0.652589	329.658	54.5502	10.2664
0.550946	329.002	54.4674	10.3227
0.47731	328.405	54.3935	10.3738
0.383735	327.818	54.3136	10.4246
0.285317	327.181	54.2224	10.4801
0.146293	326.588	54.1333	10.5323
0.0552147	325.977	54.0344	10.5855
-0.0532434	325.349	53.9258	10.6397
-0.175642	324.701	53.8045	10.6965
-0.288683	324.115	53.6913	10.7476
-0.416471	323.493	53.5699	10.801
-0.513986	322.888	53.4498	10.8524
-0.588429	322.245	53.3185	10.9073
-0.694544	321.609	53.1933	10.9613
-0.74246	321.009	53.0746	11.0114
-0.807705	320.345	52.9435	11.0667
-0.856956	319.688	52.8236	11.1207
-0.876362	318.995	52.7023	11.1772
-0.886489	318.302	52.591	11.2335
-0.879671	317.623	52.4904	11.289
-0.853774	316.949	52.401	11.3445
-0.822829	316.283	52.3181	11.3989
-0.760682	315.614	52.2399	11.454
-0.715475	314.982	52.1762	11.5065
-0.648693	314.337	52.1063	11.5607
-0.544446	313.716	52.0392	11.6142
-0.480693	313.06	51.9696	11.6702
-0.387407	312.428	51.8978	11.7249
-0.294626	311.814	51.8181	11.7786
-0.195713	311.168	51.7277	11.8348
-0.0926188	310.588	51.6375	11.8855
-0.000872366	310.011	51.5402	11.9361
0.126522	309.375	51.428	11.9917
0.220004	308.738	51.3066	12.0473
0.318705	308.148	51.1916	12.0981
0.444761	307.534	51.0699	12.1514
0.517148	306.905	50.9392	12.2048
0.599037	306.284	50.8156	12.2573
0.693598	305.646	50.6923	12.3108
0.748644	304.988	50.5673	12.3652
0.793183	304.347	50.4554	12.4179
0.829417	303.687	50.3476	12.4718
0.846683	303.028	50.2489	12.5256
0.83962	302.343	50.1524	12.5816
0.826558	301.685	50.0689	12.6358
0.795062	301.004	49.983	12.6919
0.73504	300.39	49.9108	12.7428
0.69448	299.701	49.8318	12.8004
0.61697	299.053	49.7588	12.8556
0.525726	298.411	49.6803	12.9113
0.433438	297.836	49.6104	12.9615
0.29848	297.239	49.5343	13.0141
0.211781	296.615	49.4531	13.0692
0.111933	296.037	49.3714	13.12
0.00584066	295.463	49.285	13.1706
-0.118079	294.806	49.1792	13.2277
-0.210162	294.203	49.0758	13.2794
-0.324907	293.616	48.9676	13.3302
-0.462311	292.998	48.8469	13.3835
-0.554799	292.386	48.7145	13.4356
-0.656988	291.796	48.5873	13.4858
-0.745778	291.139	48.4484	13.5407
-0.835988	290.468	48.3026	13.5965
-0.906876	289.772	48.1653	13.6538
-0.93975	289.098	48.0364	13.7089
-0.964294	288.391	47.9166	13.7663
-0.968961	287.714	47.8137	13.8214
-0.956723	287.015	47.7203	13.8783
-0.909767	286.355	47.6405	13.9326
-0.861049	285.748	47.576	13.983
-0.815445	285.087	47.513	14.0386
-0.72367	284.468	47.45	14.0916
-0.660972	283.832	47.389	14.1463
-0.585587	283.228	47.3212	14.1989
-0.460798	282.615	47.2455	14.2534
-0.397024	281.987	47.1614	14.3086
-0.268079	281.383	47.0682	14.3628
-0.175676	280.747	46.9593	14.4195
-0.045408	280.146	46.8466	14.4737
0.0527594	279.562	46.731	14.5246
0.130872	278.934	46.5994	14.5791
0.259039	278.303	46.4713	14.6339
0.34407	277.701	46.3477	14.6849
0.417174	277.055	46.2131	14.7395
0.499306	276.415	46.0877	14.7933
0.547257	275.778	45.9629	14.8462
0.590176	275.139	45.8475	14.8991
0.633762	274.487	45.7365	14.9528
0.655335	273.835	45.6325	15.0066
0.667429	273.172	45.5338	15.0608
0.662192	272.519	45.4423	15.1147
0.65326	271.836	45.3559	15.1714
0.61125	271.205	45.2799	15.2243
0.570673	270.566	45.2121	15.2778
0.503785	269.899	45.1361	15.3335
0.455256	269.261	45.0694	15.3874
0.371157	268.647	44.9993	15.4405
0.281004	267.989	44.9229	15.4971
0.174876	267.34	44.8395	15.5534
0.116548	266.73	44.7607	15.606
0.0281587	266.155	44.6799	15.6566
-0.0580594	265.578	44.5914	15.7074
-0.14231	264.989	44.4954	15.7586
-0.221593	264.383	44.3901	15.8106
-0.348963	263.755	44.2755	15.8653
-0.428568	263.167	44.1574	15.916
-0.497538	262.534	44.032	15.969
-0.568997	261.898	43.9048	16.0222
-0.648113	261.224	43.765	16.0787
-0.711658	260.542	43.6307	16.135
-0.748551	259.874	43.4955	16.1895
-0.786753	259.165	43.3585	16.247
-0.80438	258.494	43.2373	16.3017
-0.813186	257.81	43.1227	16.3571
-0.808292	257.189	43.0299	16.4074
-0.791413	256.543	42.942	16.4596
-0.750061	255.874	42.8584	16.5145
-0.713996	255.204	42.7859	16.5697
-0.664972	254.583	42.718	16.6209
-0.592215	253.943	42.648	16.6747
-0.546878	253.281	42.5799	16.7301
-0.446812	252.659	42.5093	16.7833
-0.394503	252.03	42.4386	16.837
-0.275384	251.385	42.356	16.8932
-0.198862	250.77	42.275	16.9474
-0.109904	250.137	42.1815	17.0028
-0.00684601	249.52	42.0823	17.0574
0.095998	248.955	41.9817	17.1076
0.252853	248.33	41.8653	17.1638
0.324275	247.705	41.7365	17.218
0.44246	247.05	41.6031	17.2747
0.504984	246.393	41.4618	17.3301
0.605915	245.757	41.3308	17.384
0.664848	245.129	41.1986	17.4363
0.724107	244.482	41.0749	17.4898
0.779584	243.812	40.9544	17.5448
0.810263	243.154	40.8425	17.5987
0.827544	242.516	40.7441	17.6515
0.831119	241.84	40.6492	17.7074
0.80014	241.159	40.5582	17.7639
0.772941	240.511	40.4818	17.8183
0.720449	239.893	40.4096	17.8709
0.627238	239.257	40.3362	17.9259
0.564163	238.631	40.2696	17.9801
0.472534	238.023	40.2002	18.0333
